Principio Activo,Cantidad de Medicamentos,Nombre en Inglés
ALCOHOL POLIVINILICO,7,N/A
ARTESUNATO,7,N/A
BETAHISTINA DICLORHIDRATO,7,N/A
SULFATO DE MAGNESIO HEPTAHIDRATADO,7,N/A
GEMFIBROZIL,7,N/A
CALCITRIOL,7,N/A
TRIPTOFANO USP,7,N/A
VITAMINA B 12,7,N/A
MESNA,7,N/A
PILOCARPINA CLORHIDRATO,7,N/A
IRINOTECAN CLORHIDRATO TRIHIDRATO,7,N/A
SALBUTAMOL SULFATO,7,N/A
RIBOFLAVINA 5 FOSFATO,7,N/A
LEUCINA USP,7,N/A
ABACAVIR SULFATO EQUIVALENTE A ABACAVIR,7,N/A
CITARABINA,7,N/A
ZOPICLONA,7,N/A
ECONAZOL NITRATO,7,N/A
SUCRALFATO,7,N/A
ROSUVASTATINA CALCICA EQUIVALENTE A ROSUVASTATINA,7,N/A
ZIPEPROL DICLORHIDRATO,7,N/A
METOCLOPRAMIDA CLORHIDRATO,7,N/A
QUINFAMIDA,7,N/A
SULFATO DE GENTAMICINA EQUIVALENTE A GENTAMICINA BASE,7,N/A
ITRACONAZOL,7,N/A
SULFAMETOXAZOL MICRONIZADO,7,N/A
GLUCOSA,7,N/A
CLORURO SODICO,7,N/A
GLIMEPIRIDA,7,N/A
HIDROXIPROPILMETILCELULOSA,7,N/A
ARGININA USP,7,N/A
CITRATO DE SODIO DIHIDRATADO,7,N/A
BUCLIZINA CLORHIDRATO,7,N/A
VITAMINAE,7,N/A
FUMARATO FERROSO,7,N/A
DIPIRONA MAGNESICA,7,N/A
CONDROITINA SULFATO SODIO,7,N/A
ACEITE DE EUCALIPTO,7,N/A
CARVEDILOL,7,N/A
IFOSFAMIDA,7,N/A
DONEPEZILO CLORHIDRATO,7,N/A
PIRIDOXINA CLORHIDRATO USP,7,N/A
ESENCIA DE TREMENTINA,7,N/A
CARBONATO DE MAGNESIO,7,N/A
PROLINA USP,7,N/A
CICLOSPORINA,7,N/A
TIMEROSAL,7,N/A
SULFATO DE ZINC EQUIVALENTE A ZINC,7,N/A
MELATONINA,7,N/A
SULFATO DE ALUMINIO,7,N/A
PROTEINAS,7,N/A
N-ACETIL CISTEINA,7,N/A
CARBON ACTIVADO,7,N/A
ALANINA USP,7,N/A
RIBOFLAVINA 5-FOSFATO,7,N/A
DIOXIDO DE SILICIO,7,N/A
YODOPOLIVINILPIRROLIDONA,7,N/A
ACYCLOVIR,7,N/A
HISTIDINA USP,7,N/A
ESTROGENOS CONJUGADOS,7,N/A
RIBOFLAVINA USP,7,N/A
BETAMETASONA DIPROPIONATO EQUIVALENTE A BETAMETASONA BASE,7,N/A
CIPROFLOXACINO BASE,7,N/A
LORATADINA MICRONIZADA,7,N/A
RACECADOTRILO,6,N/A
OXIDO DE ZINC USP,6,N/A
CROSCARMELOSA SODICA,6,N/A
EXTRACTO FLUIDO DE BILIS DE BUEY,6,N/A
ISONIACIDA,6,N/A
MALEATO DE TIMOLOL EQUIVALENTE A TIMOLOL,6,N/A
DOPAMINA CLORHIDRATO,6,N/A
TRETINOINA (ACIDO RETINOICO),6,N/A
VITAMINAA,6,N/A
PENICILINA G SODICA,6,N/A
LETROZOL,6,N/A
PENICILINA G PROCAINICA,6,N/A
FEXOFENADINA CLORHIDRATO,6,N/A
PANTOTENATO DE CALCIO EQUIVALENTE A ACIDO PANTOTENICO,6,N/A
CANDESARTAN CILEXETIL,6,N/A
ACEITE MINERAL,6,N/A
PENICILINA G SODICA EQUIVALENTE A PENICILINA G,6,N/A
MIDAZOLAM,6,N/A
FENITOINA SODICA,6,N/A
INMUNOGLOBULINA HUMANA NORMAL,6,N/A
CISAPRIDA,6,N/A
ACIDO GLICOLICO,6,N/A
HIDRÓXIDO DE MAGNESIO,6,N/A
ACIDO GLUTAMICO,6,N/A
NAPROXENO BASE,6,N/A
HIDROXIDO DE SODIO,6,N/A
BETAMETASONA VALERATO EQUIVALENTE A BETAMETASONA BASE,6,N/A
PAMOATO DE PIRANTEL EQUIVALENTE A PIRANTEL,6,N/A
GENTAMICINA SULFATO (EQUIVALENTE A GENTAMICINA BASE),6,N/A
CLORURO DE CETILPIRIDINIO,6,N/A
ABACAVIR SULFATO EQUIVALENTE A ABACAVIR BASE,6,N/A
VITAMINA E (ALFA TOCOFEROL ACETATO),6,N/A
DICLOFENACO POTASICO,6,N/A
NICOTINAMIDA (NIACINAMIDA),6,N/A
NICOTINAMIDA USP,6,N/A
TOXOIDE TETANICO,6,N/A
SULFATO DE ZINC MONOHIDRATO EQUIVALENTE A ZINC,6,N/A
ACETATO DE SODIO TRIHIDRATO,6,N/A
CARBONATO DE LITIO,6,N/A
AZITROMICINA,6,N/A
ACEITE DE HIGADO DE BACALAO,6,N/A
VITAMINA A ACETATO EQUIVALENTE A VITAMINA A,6,N/A
TENOFOVIR DISOPROXIL FUMARATO,6,N/A
INOSITOL,6,N/A
DESOGESTREL,6,N/A
ACETIL CISTEINA,6,N/A
MEPIVACAINA CLORHIDRATO,6,N/A
BEZAFIBRATO,6,N/A
BROMAZEPAN,6,N/A
VITAMINA B1 (TIAMINA MONONITRATO),6,N/A
HIDROTALCITA,6,N/A
FLUOXETINA CLORHIDRATO EQUIVALENTE A FLUOXETINA,6,N/A
PAPAVERINA CLORHIDRATO,6,N/A
QUETIAPINA FUMARATO EQUIVALENTE A QUETIAPINA,6,N/A
KETOTIFENO FUMARATO EQUIVALENTE A KETOTIFENO,6,N/A
TADALAFILO,6,N/A
ACETATO DE SODIO TRIHIDRATADO USP,6,N/A
MANITOL,6,N/A
LIDOCAINA,6,N/A
PROMETAZINA CLORHIDRATO,6,N/A
VITAMINA B6 (PIRIDOXINA),6,N/A
TERFENADINA,6,N/A
ALFACALCIDOL,6,N/A
DESONIDA,6,N/A
ÓXIDO DE ZINC,6,N/A
TREMENTINA,6,N/A
DACARBAZINA,6,N/A
TREONINA USP,6,N/A
DEXAMETASONA BASE,6,N/A
METOCLOPRAMIDA CLORHIDRATO MONOHIDRATO EQUIVALENTE A METOCLOPRAMIDA BASE,6,N/A
TIAMINA MONOHIDRATO,6,N/A
HIALURONATO DE SODIO,6,N/A
AZUFRE,6,N/A
ACIDO UNDECILENICO,6,N/A
PROPAFENONA CLORHIDRATO,6,N/A
SULFATO FERROSO HEPTAHIDRATADO,6,N/A
TRIMETROPIM,6,N/A
ERITROMICINA,6,N/A
CAOLIN COLOIDAL,6,N/A
INDAPAMIDA,6,N/A
BENZOATO DE BENCILO,6,N/A
WARFARINA SODICA,6,N/A
TIMOL,6,N/A
CAFEÍNA,6,N/A
LEVODOPA,6,N/A
ÁCIDO PANTOTÉNICO,6,N/A
TIOCONAZOL,6,N/A
ACETAMINOFEN USP,6,N/A
ZOLPIDEM TARTRATO,6,N/A
DIPIRIDAMOL,6,N/A
CLOBETASOL PROPIONATO,6,N/A
CROMOGLICATO SODICO,6,N/A
HIOSCINA BUTIL BROMURO,6,N/A
HIOSCINA BUTILBROMURO,5,N/A
ESTREPTOQUINASA,5,N/A
BETAMETASONA ACETATO,5,N/A
NIZATIDINA,5,N/A
TOLNAFTATO,5,N/A
METRONIDAZOL BENZOILO EQUIVALENTE A METRONIDAZOL BASE,5,N/A
EXTRACTO DE GINKGO BILOBA,5,N/A
ISOLEUCINA USP,5,N/A
CEFALEXINA MONOHIDRATO EQUIVALENTE A CEFALEXINA,5,N/A
FLUOXETINA CLORHIDRATO,5,N/A
ACIDO ACETICO,5,N/A
INMUNOGLOBULINA HUMANA,5,N/A
LEVOTIROXINA SODICA,5,N/A
ACETAZOLAMIDA,5,N/A
VITAMINA B 6,5,N/A
DOMPERIDONA,5,N/A
MENTOL CRISTALIZADO,5,N/A
NALTREXONA CLORHIDRATO,5,N/A
FLUNARIZINA CLORHIDRATO EQUIVALENTE A FLUNARIZINA BASE,5,N/A
CEFRADINA MONOHIDRATO EQUIVALENTE A CEFRADINA,5,N/A
GLUCONATO DE CLORHEXIDINA,5,N/A
GINKGO BILOBA,5,N/A
BETA CAROTENO,5,N/A
SODIO CLORURO,5,N/A
FÓSFORO,5,N/A
ACETATO DE SODIO,5,N/A
SULTAMICILINA,5,N/A
ACETATO DE CIPROTERONA,5,N/A
FLUTICASONAPROPIONATO,5,N/A
MALTODEXTRINA,5,N/A
EPINEFRINA,5,N/A
DOXORRUBICINA CLORHIDRATO,5,N/A
GLIMEPIRIDE,5,N/A
MENTOL USP,5,N/A
HIERRO AMINOQUELADO EQUIVALENTE A HIERRO ELEMENTAL,5,N/A
NICOTINA,5,N/A
HEPARINA SODICA,5,N/A
MIRTAZAPINA,5,N/A
